Date,BTC Price
8/27/2015,225.9442482
8/28/2015,232.1951439
8/29/2015,230.8633734
8/30/2015,230.0791349
8/31/2015,230.0984772
9/1/2015,228.2561496
9/2/2015,229.8360933
9/3/2015,227.9195715
9/4/2015,230.9482398
9/5/2015,235.8197636
9/6/2015,240.7817681
9/7/2015,240.6172407
9/8/2015,244.1568819
9/9/2015,238.7539659
9/10/2015,239.0261712
9/11/2015,240.3584052
9/12/2015,235.510524
9/13/2015,230.3821022
9/14/2015,230.8180318
9/15/2015,230.8092476
9/16/2015,228.8693957
9/17/2015,233.1003822
9/18/2015,232.1751293
9/19/2015,231.5965614
9/20/2015,231.6249739
9/21/2015,226.9850226
9/22/2015,230.9920699
9/23/2015,230.0460573
9/24/2015,234.544201
9/25/2015,234.7269865
9/26/2015,234.0294018
9/27/2015,232.6547381
9/28/2015,240.0448019
9/29/2015,237.0886066
9/30/2015,236.5082775
10/1/2015,237.7906031
10/2/2015,237.8536035
10/3/2015,239.3207817
10/4/2015,238.8975021
10/5/2015,241.3937448
10/6/2015,246.7786676
10/7/2015,243.7646412
10/8/2015,242.8360253
10/9/2015,244.7380406
10/10/2015,245.8728844
10/11/2015,248.1642433
10/12/2015,246.3047308
10/13/2015,250.4692285
10/14/2015,252.9022939
10/15/2015,255.0394119
10/16/2015,263.1900853
10/17/2015,272.0301471
10/18/2015,263.9854948
10/19/2015,264.6560882
10/20/2015,270.7622898
10/21/2015,267.8981219
10/22/2015,275.8750136
10/23/2015,278.6794394
10/24/2015,283.7317085
10/25/2015,284.6811886
10/26/2015,286.716012
10/27/2015,295.1209602
10/28/2015,304.343403
10/29/2015,313.9723544
10/30/2015,329.472388
10/31/2015,314.2708334
11/1/2015,328.871168
11/2/2015,363.9375096
11/3/2015,404.5259027
11/4/2015,421.790305
11/5/2015,386.9789678
11/6/2015,375.3951129
11/7/2015,385.1643126
11/8/2015,373.9415644
11/9/2015,380.1756838
11/10/2015,339.1547427
11/11/2015,313.6228295
11/12/2015,336.9269162
11/13/2015,338.1916067
11/14/2015,333.4390115
11/15/2015,320.6732768
11/16/2015,332.0870313
11/17/2015,336.2843723
11/18/2015,335.720043
11/19/2015,326.2845909
11/20/2015,322.4353243
11/21/2015,327.8543839
11/22/2015,324.9205834
11/23/2015,323.823339
11/24/2015,320.5543728
11/25/2015,329.4833928
11/26/2015,353.7980644
11/27/2015,358.7104565
11/28/2015,358.4355263
11/29/2015,373.3563935
11/30/2015,376.9633511
12/1/2015,362.7758352
12/2/2015,359.3236874
12/3/2015,360.2170359
12/4/2015,363.6692522
12/5/2015,389.2398163
12/6/2015,390.1045582
12/7/2015,396.0996664
12/8/2015,420.3694178
12/9/2015,418.0851486
12/10/2015,415.2781833
12/11/2015,455.3276316
12/12/2015,435.6019376
12/13/2015,433.1189715
12/14/2015,443.5402374
12/15/2015,465.5489279
12/16/2015,454.7854895
12/17/2015,455.5572073
12/18/2015,463.0710194
12/19/2015,461.9463106
12/20/2015,442.4066177
12/21/2015,437.379365
12/22/2015,435.549823
12/23/2015,442.6837058
12/24/2015,455.805942
12/25/2015,455.6404342
12/26/2015,416.872199
12/27/2015,422.7959037
12/28/2015,420.9850415
12/29/2015,432.2813584
12/30/2015,424.974968
12/31/2015,429.6565276
1/1/2016,434.3363469
1/2/2016,433.5068626
1/3/2016,429.1047323
1/4/2016,433.7908332
1/5/2016,432.4603729
1/6/2016,429.6062174
1/7/2016,458.5780248
1/8/2016,453.8620979
1/9/2016,449.2588505
1/10/2016,449.1487988
1/11/2016,449.413879
1/12/2016,433.7546447
1/13/2016,431.6081722
1/14/2016,430.2427251
1/15/2016,359.6326316
1/16/2016,388.7558194
