Date, DJIA_Close,DJIA_Change,DJIA_pct_Change, Close,NDAQ_Change,NDAQ_pct_Change
2018-09-06,25995.87,20.88,0.080385017,7922.73,-72.44,-0.00906047
2018-09-07,25916.54,-79.33,-0.305163859,7902.54,-20.19,-0.002548364
2018-09-10,25857.07,-59.47,-0.229467359,7924.16,21.62,0.002735829
2018-09-11,25971.06,113.99,0.440846546,7972.47,48.31,0.006096545
2018-09-12,25998.92,27.86,0.10727325,7954.23,-18.24,-0.002287873
2018-09-13,26145.99,147.07,0.565677344,8013.71,59.48,0.007477782
2018-09-14,26154.67,8.68,0.033198207,8010.04,-3.67,-0.000457965
2018-09-17,26062.12,-92.55,-0.353856501,7895.79,-114.25,-0.014263349
2018-09-18,26246.96,184.84,0.709228566,7956.11,60.32,0.007639514
2018-09-19,26405.76,158.8,0.605022448,7950.04,-6.07,-0.000762936
2018-09-20,26656.98,251.22,0.951383335,8028.23,78.19,0.009835171
2018-09-21,26743.5,86.52,0.324567899,7986.96,-41.27,-0.00514061
2018-09-24,26562.05,-181.45,-0.678482622,7993.25,6.29,0.000787534
2018-09-25,26492.21,-69.84,-0.262931513,8007.47,14.22,0.001779001
2018-09-26,26385.28,-106.93,-0.403628085,7990.37,-17.1,-0.002135506
2018-09-27,26439.93,54.65,0.207123063,8041.97,51.6,0.006457774
2018-09-28,26458.31,18.38,0.069516069,8046.35,4.38,0.000544643
2018-10-01,26651.21,192.9,0.729071509,8037.3,-9.05,-0.001124734
2018-10-02,26773.94,122.73,0.46050442,7999.55,-37.75,-0.004696851
2018-10-03,26828.39,54.45,0.203369396,8025.09,25.54,0.00319268
2018-10-04,26627.48,-200.91,-0.748870879,7879.51,-145.58,-0.018140607
2018-10-05,26447.05,-180.43,-0.677608245,7788.45,-91.06,-0.011556556
2018-10-08,26486.78,39.73,0.150224694,7735.95,-52.5,-0.006740751
2018-10-09,26430.57,-56.21,-0.212219077,7738.02,2.07,0.000267582
2018-10-10,25598.74,-831.83,-3.147226866,7422.05,-315.97,-0.040833443
2018-10-11,25052.83,-545.91,-2.1325659,7329.06,-92.99,-0.012528884
2018-10-12,25339.99,287.16,1.146217813,7496.89,167.83,0.022899253
2018-10-15,25250.55,-89.44,-0.352959887,7430.74,-66.15,-0.008823659
2018-10-16,25798.42,547.87,2.169734917,7645.49,214.75,0.028900217
2018-10-17,25706.68,-91.74,-0.355603173,7642.7,-2.79,-0.000364921
2018-10-18,25379.45,-327.23,-1.272937618,7485.14,-157.56,-0.020615751
2018-10-19,25444.34,64.89,0.2556793,7449.03,-36.11,-0.004824225
2018-10-22,25317.41,-126.93,-0.498853576,7468.63,19.6,0.002631215
2018-10-23,25191.43,-125.98,-0.497602243,7437.54,-31.09,-0.004162745
2018-10-24,24583.42,-608.01,-2.413558897,7108.4,-329.14,-0.04425388
2018-10-25,24984.55,401.13,1.631709502,7318.34,209.94,0.029534072
2018-10-26,24688.31,-296.24,-1.185692758,7167.21,-151.13,-0.020650858
2018-10-29,24442.92,-245.39,-0.993952198,7050.29,-116.92,-0.016313182
2018-10-30,24874.64,431.72,1.766237422,7161.65,111.36,0.015795095
2018-10-31,25115.76,241.12,0.969340662,7305.9,144.25,0.020142006
2018-11-01,25380.74,264.98,1.055034767,7434.06,128.16,0.017541987
2018-11-02,25270.83,-109.91,-0.433044899,7356.99,-77.07,-0.010367148
2018-11-05,25461.7,190.87,0.755297709,7328.85,-28.14,-0.003824934
2018-11-06,25635.01,173.31,0.680669398,7375.96,47.11,0.006428021
2018-11-07,26180.3,545.29,2.127130046,7570.75,194.79,0.026408766
2018-11-08,26191.22,10.92,0.041710752,7530.88,-39.87,-0.005266321
2018-11-09,25989.3,-201.92,-0.770945378,7406.9,-123.98,-0.016462883
2018-11-12,25387.18,-602.12,-2.316799606,7200.87,-206.03,-0.027815955
2018-11-13,25286.49,-100.69,-0.396617505,7200.87,0,0
